"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1
"2",-2,-2,-2,-0.590077959086076,-2,-2,0.197638010513638,-2,-2,-2,-0.688873022026348,-2,2,1.62033486965099,-1.04357716843961,0.19462625640079,-0.0848959391468586,-0.959970927706407,0.884961315538334,-2,2,1.55875339638992,-1.51346648246757,-0.161327007522511,-0.208177703147547,0.126738512166996,-2,2,1.96531444504338,0.852466526737641,0.690219655609226,2,2,-1.25096143596793,-0.596699742895055,-0.107562739128729,-2,0.946580824789613,-1.85164591419704,1.39804211517433,-1.6112409511707,2,-2,1.66544837670045,-1.24700814843299
"3",-3,-3,-3,-1.15585751068727,-3,-3,-0.259635575901929,-3,-3,-3,-1.99712932194001,-3,-1.23219303083599,-1.08845019944451,-1.86215917783231,-0.778399074088531,-1.38810461743009,-2.26810243858728,0.979491648961109,-3,0.408593892506584,2.341275509826,-2.56277860434274,-0.53278906293075,-1.02059943608597,-1.49315122792894,-1.78040312534747,0.0863008152535626,1.1763091179455,-0.72818032478262,-1.23663957434098,3,3,-2.46032245007628,-0.69188376683366,-0.625432980668107,-3,-1.33450760698321,-2.92897426800376,0.087179347165416,-2.67336615641818,3,-3,0.452658761124015,-2.41228307305302
"4",-4,-4,-4,-2.28171913717034,-4,-4,-0.772408347729781,-4,-4,-4,-2.9648239500879,-4,-2.59644550642784,-1.95214284484792,-2.97755091115372,-0.828121146922133,-2.79308454469143,-3.225884160159,-0.0832899978462971,-4,-0.314724418535773,1.8923255452012,-3.54251660238542,-1.49616848241537,-1.70834880381193,-2.31828233368905,-2.74004707421664,-0.311062060017843,1.62666665130391,-2.12333766938209,-2.45651737863417,3.06169024509041,4,-3.52502907360228,-1.76749122538174,-2.80685571065375,-4,-2.26223100293576,-3.91352976777224,0.231566363036039,-3.6588894353816,1.70919196792198,-4,-3.0577263772972,-3.27465000495208
"5",-4.54181736359806,-5,-5,-3.44563432051236,-5,-5,-2.20006850950569,-5,-5,-5,-4.06423073912651,-5,-2.24768544335394,-1.3827979539627,-4.09102312339227,0.274944434318789,-3.67265379654208,-4.30803082502818,-1.36737773537826,-5,-0.919926665348438,2.33974860945185,-4.5339229455353,-2.42080255215877,-2.83611915921254,-2.84955120737308,-3.44780615999235,-0.42410137295734,-0.329408834301914,-3.51254086500257,-3.45990554529672,2.12431991557728,5,-4.49622560071461,-2.33029695986071,-4.2080875030102,-5,-3.00475884364872,-4.90820467315994,0.994770609340954,-4.67940939179886,1.04563051963238,-4.75249527658278,-3.43602128005757,-4.65191291695714
"6",-5.52507085782262,-5.83338685064307,-6,-4.10243678388093,-5.59495739295302,-3.71243432825235,-1.87491411525994,-6,-5.86552025770805,-3.42486045325214,-3.8161225331128,-5.54333443129046,0.16827170738718,1.15796408870189,-3.30169151897335,1.28279305453211,-2.30414637967165,-3.20300526765737,-0.788593907393131,-4.84402359755268,0.0880780773573769,4.45173432445101,-2.24331703036275,-1.64156319902766,-0.749652920066691,-2.06460487701615,-1.20691120028058,0.845792377712098,1.72994789669191,-4.85285253377349,-2.3297756181508,2.83443114898906,6,-3.60687802349533,-2.56934915135318,-5.0039646550142,-6,-2.01446133671211,-4.76852158670467,2.55415027698209,-5.46257933248608,2.33122349598611,-4.72384302799849,-4.35415723511846,-2.88029384473123
"7",-6.65254168102251,-6.86973063174609,-7,-5.9492074774388,-6.70843258510082,-5.50675698037322,-4.00929514168158,-7,-6.89554062824675,-4.84918582091766,-5.50268873830197,-6.56219609645633,-3.33636655268261,-2.32926780448063,-4.89482249604736,-0.800816985937466,-4.57349528509204,-4.68691818914349,-3.26419550883237,-6.24962513044419,-0.864789192168142,-0.495387363498785,-4.86259202079168,-3.39413378602394,-3.56061389671785,-4.25282801596876,-2.57061041306134,-0.360695545317237,-2.87789541255973,-6.11704928601711,-3.88760527551277,-2.44763166972283,7,-5.46988987988793,-3.41897425121207,-3.92160316600104,-7,-3.65421967887043,-6.44229649040103,-0.262231278900035,-6.60217818445593,3.12159192875468,-5.799536269325,-5.78148814953252,-4.88753196829614
"8",-7.63739291325612,-7.86276057155428,-8,-6.08992246770017,-7.71675371575262,-6.67753493624147,-5.44733703550139,-7.28644149892321,-7.89273469097277,-6.1172140583851,-6.72059961490051,-7.57323110016277,-4.50318878803898,-2.0510566103644,-3.84008053263807,-0.000324027042134223,-5.29729157265014,-4.52459468833996,-3.87010214020344,-7.06366812959196,-3.56428969383896,1.22510694095368,-4.03473520648433,-4.11699896632174,-2.59077987801015,-4.97737654705513,-1.33471176906551,-0.643101695916099,-3.69837992829579,-7.10307558610902,-4.31476637815638,-3.47203231708103,7.40931681685754,-6.44648222613946,-4.28530584275871,-3.49235965016809,-4.90408730758944,-4.73115673051579,-7.51675956950901,0.933112791099185,-7.62252760105999,2.59538336925204,-7.01496944642019,-6.71272127920896,-5.6834919193423
"9",-8.5672361629812,-8.84751463612818,-9,-5.6656165321694,-8.21303752417617,-4.83227015850044,-3.51654890037882,-7.79395346995856,-7.27202094862985,-5.12157676659867,-6.35717750486355,-7.25748125665661,-1.99339329232779,0.600253166119699,-1.3816304511294,-1.58882316382065,-6.27267190122027,-3.41336007004034,-1.27423327107092,-5.5086168102946,-2.79576797275665,2.62473215878251,-3.06822253480337,-3.7350920975829,-0.821071860920344,-5.73944746976303,0.590898579350603,-0.0570975361482602,-3.21412768224426,-8.1692137340497,-3.7684448328425,-1.75890936742069,7.47515043130014,-5.94927276069682,-2.99463508722481,-4.89655625928928,-5.79181610201491,-4.28346488398895,-4.98927247295792,1.45375685808644,-7.58713448004473,2.92324939879336,-7.89405873480358,-7.75036826229251,-4.93253914700243
"10",-8.43968790954704,-9.83993110662041,-10,-6.48214899224986,-9.1491091854345,-5.02145709866552,-4.37985047287994,-8.86867105483435,-7.78415837545527,-4.9554422483688,-5.55024707756202,-8.06558990626047,-3.0839288896709,1.77079789882445,-1.36781725913378,-1.00325108492883,-7.32299783825972,-3.01173822269832,-1.19299437841152,-5.8209369533797,-0.0508152342413275,3.29117745437417,-3.97643522364773,-4.31555722187648,-0.138007416590524,-6.63190472832338,1.23662459221784,0.016237886292809,-4.66299262548977,-9.20995554489453,-4.4376151181373,-1.88609173879781,8.53941153927448,-6.97381521378908,-0.0258967605091682,-5.88379388112522,-7.14718351662052,-4.88468623928757,-5.10239882830471,1.21538925610228,-8.43043640239553,3.51777026198766,-5.30643900402444,-8.9528377250208,-2.20660774048607
