"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"1",-38.392588283863,-69.2616604999203,-327.158369452592,-1344.11935533728,40.6946144292024,228.120443653268,-259.525390066385,-96.3469143199145,-355.491637295281,-2011.58008107964,-489.755213726487,-449.925508383103,667.365442964237,-488.655932582136,-187.365693106364,-158.654397232397,151.906526090939,-195.482303732304,-824.081572236206,-1534.5091804403,247.27376257628,-18.0196165093967,-721.98080917625,-1312.49249089737,-384.583037202134,270.661176219302,66.7609867561769,-135.380935238882,53.7327708822249,193.243619037701,-1132.98218939903,-207.596189643768,163.018759778209,143.140654433646,-412.746549507179,-301.969169199272,-450.351852732931,302.616175393739,-352.595941876378,205.003902037042,-884.428345736909,233.891187052723,-752.970382464293,43.1816197715871,56.8174757226752
"2",177.60861625323,342.00835565721,-594.291939044008,-1651.47320913729,-241.005315265661,159.10030209797,177.964196145732,-854.975207716485,-1397.94237792106,-1960.36254186364,-141.388057047472,-823.713196806008,964.677686799329,-182.763631156511,42.2103967485154,405.204306061723,545.422970706182,148.088193768108,625.05716981554,-1204.39114903992,1153.43778781925,954.830805249898,-526.828644786401,-83.8899254382632,133.854325627701,310.869966137416,1587.45681004909,3404.33875247765,368.643400253273,672.948022899316,-1664.12224544099,-310.855844522966,700.029186183747,67.376794942682,204.927690538603,-728.297999011933,-585.570457175934,129.843544837656,-80.8085862656299,1596.0618039945,-76.1732621248339,1248.71233037766,-1776.79257882841,250.018621776148,103.993487133088
"3",-1250.3278047285,-818.609734934464,-1004.76536807989,-2470.00773896361,-999.746525268064,-280.087367568642,76.6047761259606,-1813.32506964496,-2156.75706005815,-3116.38788148886,-942.875751608117,-2219.94184848396,428.981452755026,-2699.74967064937,-65.7865079529674,79.3493270802528,702.759562211451,-876.14704661912,-16.0113578448509,-2883.70369251554,1361.93541562239,1129.61387400962,-3455.41066403045,-697.508555817636,-267.553803846105,-676.674730329756,324.892811878868,-137.29233390302,116.17421703475,607.262705924863,-3098.11494471481,-103.692554021396,740.825612199383,-651.613698877778,236.900199784599,-792.082497024929,-1685.10857392848,-584.998515761526,-1781.09325007331,495.974381648144,-1042.71668501216,1333.36408681498,-1607.93913971083,427.539588238825,-317.736710407811
"4",-1424.31990251948,-1810.30859946565,-1001.84088503487,-3284.20612474104,-1313.18344998432,-824.706961651773,78.9534786223985,-2065.26621199011,-2134.2179847544,-4000.09095113119,-1015.11758687101,-2858.37893808572,69.5670450426587,-3308.32446603898,-550.651148889603,-9.16169183229249,586.962052450055,-1433.40134325822,-792.471985552605,-4418.01472869826,1490.24510512022,749.038740306851,-3809.07150817185,-1783.47680994782,-543.337472857742,-769.957836898309,-891.969902392404,-833.316991674819,-13.2564304148736,464.899688960645,-4086.48849540834,-331.28927004099,553.986550534735,-520.567898744011,-880.674303749985,-1149.89340866699,-2651.91971923428,-1323.47490796444,-1684.45914333798,656.509471671803,-1587.44319313128,681.108117387968,-1230.27353789402,-174.261253740734,-612.502371813964
"5",207.413065659261,-2100.4340628447,-1418.82887276259,-4900.23372444107,-1464.89338659171,-1061.25493102568,-305.911635811796,-3010.98093647053,-2694.47493483166,-4196.60948470755,-1716.18851845727,-3484.17365941443,322.368800100256,-3622.51860798564,-1197.25472328187,243.589053734967,530.882786642944,-2557.53686080329,-2659.65630793505,-6067.3595002199,1927.9137769593,512.440874321055,-5399.4020406288,-3278.93408879157,-1130.92737786003,-719.707315265421,-2523.73489383001,-1260.6145837349,-802.041793154785,-11.7136790658051,-4756.52041854789,-708.805916338006,573.120493004672,-734.793019768626,-1206.90270903741,-1833.66283991009,-2790.61692295447,-1573.63502559553,-1578.27499311639,1131.49223421468,-2430.97760774491,422.950257182249,-875.189746855756,24.9550958972441,-1985.50509012878
"6",-780.980166591347,-2485.56177303995,-1833.3958843572,-7164.0286498216,-1443.67643120409,-1784.77755412335,-906.227424582714,-3514.45269763617,-2962.57270709884,-4635.07321737755,-2255.78662089752,-3475.8976131833,410.099913567094,-5040.84800627039,-1510.539298212,331.792011958816,964.068500927198,-3257.00907619749,-3980.90874454219,-7774.62708662654,2120.64150562822,304.628885739869,-6413.699914981,-4097.84786925528,-1723.66707150446,-1605.20315163565,-2787.77962445233,570.41955723966,-1205.82962534797,-909.982561668843,-5794.30885174674,-1466.40561631004,249.038677300782,-1223.64299794026,-2161.0691083543,-1833.82675745171,-3131.62720048802,-1247.21703389339,-2622.59216408209,1314.47071943274,-2809.57626807042,824.661480208297,-191.373092317317,-98.8314261490623,-2613.00704106637
"7",-3149.52598318891,-5556.38123872837,-3610.8765414527,-11447.772977027,-2860.10236800127,-5772.07784792309,-2016.84816121958,-4825.01174761429,-4648.19872791229,-7829.66626371637,-5725.43186796716,-4397.1757745261,-2434.50181140265,-10862.9479677614,-2518.21421187399,-48.6373243613798,244.626021907643,-5063.43049598835,-6965.40823118448,-14983.9704283424,2130.41803890162,-2119.49506696924,-10898.2587569564,-7447.73610193052,-3580.7878214872,-3294.48787299732,-6438.54577130155,-1438.19306276638,-3201.23933068446,-2186.83605063538,-7931.18156948778,-3797.76876836866,361.763335122743,-2793.44302314326,-3336.58906871202,-1353.7483233014,-3694.13380517975,-2115.16323779151,-6291.18737365947,244.460657727395,-5110.51133217145,1030.02122863328,-579.106325164001,-307.673703798049,-4636.87856664127
"8",-2790.39586211839,-5489.40904540295,-3966.00025256663,-11988.1092119848,-3503.75627527519,-8196.76652473499,-3040.28770508965,-4606.89485434154,-5140.66847166928,-10441.2005846294,-8192.47457143461,-4999.40914517134,-2634.67156878758,-10963.7293497336,-1797.94527997977,235.505610562484,922.073061985007,-4672.74342985396,-7409.47944339436,-14451.5208162259,1881.97207507263,-444.601137876149,-9638.53402879213,-7936.14891314635,-3250.70028208646,-3504.9725242629,-5563.26811815174,-2139.5812734028,-3307.02487453411,-2881.09980657651,-9282.87593982103,-4472.71387956058,-91.0566231074172,-3155.27432150977,-4101.58775911381,-1642.95895774207,-3183.0648966989,-2922.35375597645,-7712.88486390173,1269.57359807031,-5969.53194352779,522.629045228827,-1673.08798568947,-266.442300228746,-4880.19291176935
"9",-1301.06081519879,-4147.84997158703,-4424.94559991384,-10242.5918945331,-3226.07131712325,-5111.20198154494,-2422.18641801628,-4188.73118491088,-4287.62616096377,-7561.46194202437,-6859.86770576668,-4095.55515987441,1809.82231153827,-6321.83725083696,-306.62168625534,-384.402825211288,1665.15132139581,-2977.83511519621,-4070.0424411155,-7927.02090283416,2989.26327789485,2265.58115025167,-7369.9872014269,-6110.25793538711,-1615.92749086545,-3353.69749705631,-2557.2745128233,-749.991292948213,-2427.97567784283,-3760.67148167767,-9477.53988571901,-2911.37127582382,-454.144687579698,-2197.78521609005,-3827.11924414665,-2309.60629910571,-3851.35552924159,-2776.9223863893,-3595.35764266771,2755.3565253978,-3975.79614958272,221.832147976325,-1245.71076348459,-534.242603812043,-3988.98907511994
"10",-89.1827248675836,-4377.66832745193,-4658.07923932643,-12716.341888977,-3371.49477248547,-4614.4118965215,-2925.43230666181,-4878.44340233224,-4135.22363986143,-5977.28794706698,-4837.49142455274,-3914.62901335575,1617.02823972265,-5282.81390879445,-48.9843746694241,-136.298357315223,1002.75825476736,-2533.9118613883,-4185.19984487682,-7335.77870461238,4723.16056525509,2508.75264136423,-8949.32556358876,-6513.76016058977,-1630.70742124434,-3737.72431470973,-2888.70820832587,-498.36258719031,-3115.87492704136,-4826.51169655418,-10418.1036822526,-2689.62094288585,-236.369840939235,-2758.88588980072,-2955.80532068156,-3217.01495933501,-5212.76572574161,-3365.66058414767,-2450.15284709941,2783.95111266808,-3761.92899399441,62.6362806899215,111.024050612166,-1301.20501134773,-2723.82112040417
