"","Date","Avg_Weekly_Sales","Net_Weekly_Sales"
"1",2010-02-05,16836.1219966159,49750740.4999999
"2",2010-02-12,16352.0560317997,48336677.6300001
"3",2010-02-19,16216.6589788378,48276993.7800001
"4",2010-02-26,14899.5496882412,43968571.1299999
"5",2010-03-05,15921.0157269022,46871470.3
"6",2010-03-12,15546.8505450237,45925396.51
"7",2010-03-19,15286.7735779817,44988974.6400001
"8",2010-03-26,14975.8944859179,44133961.05
"9",2010-04-02,17098.6202984063,50423831.26
"10",2010-04-09,16050.5897797357,47365290.44
"11",2010-04-16,15347.7130027174,45183667.08
"12",2010-04-23,15252.1147494033,44734452.56
"13",2010-04-30,14967.5091472602,43705126.7099999
"14",2010-05-07,16542.7160709413,48503243.5199999
"15",2010-05-14,15513.3744695414,45330080.2
"16",2010-05-21,15499.8653589831,45120108.0599999
"17",2010-05-28,16428.4494530444,47757502.56
"18",2010-06-04,17246.9220343642,50188543.1199999
"19",2010-06-11,16440.8892127879,47826546.7200001
"20",2010-06-18,16281.0414461538,47622046.23
"21",2010-06-25,15978.4149091532,46609036.29
"22",2010-07-02,16769.7924237231,48917484.5000002
"23",2010-07-09,16500.0101171203,47899529.3700001
"24",2010-07-16,15940.6754843157,46243899.58
"25",2010-07-23,15357.1156722545,44888849.11
"26",2010-07-30,15300.090305108,44630363.4199999
"27",2010-08-06,16576.6847042641,48204999.1199999
"28",2010-08-13,16044.3433736188,46464418.41
"29",2010-08-20,16222.3208962427,47060952.92
"30",2010-08-27,15841.8704071774,45909740.4400001
"31",2010-09-03,16129.274644566,47194257.61
"32",2010-09-10,15537.7588832142,45634397.8400001
"33",2010-09-17,14708.3395390918,43080726.5099998
"34",2010-09-24,14105.9053240109,41358514.41
"35",2010-10-01,14391.7805349233,42239875.8699999
"36",2010-10-08,15362.0484434605,45102974.23
"37",2010-10-15,14726.7827474403,43149473.4500001
"38",2010-10-22,14678.483135651,43066669.52
"39",2010-10-29,14871.3611698499,43602830.9499999
"40",2010-11-05,15625.2497918089,45781981.89
