"","Store","Date","Avg_Weekly_Sales","Net_Weekly_Sales"
"1",1,2010-02-05,22516.3136986301,1643690.9
"2",1,2010-02-12,22804.9644444444,1641957.44
"3",1,2010-02-19,22081.7557534247,1611968.17
"4",1,2010-02-26,19579.5498611111,1409727.59
"5",1,2010-03-05,21298.7216438356,1554806.68
"6",1,2010-03-12,19719.7478082192,1439541.59
"7",1,2010-03-19,20451.6081944444,1472515.79
"8",1,2010-03-26,19505.9711111111,1404429.92
"9",1,2010-04-02,22152.3372222222,1594968.28
"10",1,2010-04-09,21170.1168493151,1545418.53
"11",1,2010-04-16,20082.9901369863,1466058.28
"12",1,2010-04-23,19323.0016666667,1391256.12
"13",1,2010-04-30,20071.8409859155,1425100.71
"14",1,2010-05-07,22277.1544444444,1603955.12
"15",1,2010-05-14,20753.4930555556,1494251.5
"16",1,2010-05-21,19995.1724285714,1399662.07
"17",1,2010-05-28,20458.1421428571,1432069.95
"18",1,2010-06-04,22753.8691549296,1615524.71
"19",1,2010-06-11,21726.2125352113,1542561.09
"20",1,2010-06-18,21786.7255072464,1503284.06
"21",1,2010-06-25,20619.0086956522,1422711.6
"22",1,2010-07-02,20444.084109589,1492418.14
"23",1,2010-07-09,21775.6926760563,1546074.18
"24",1,2010-07-16,20699.1274285714,1448938.92
"25",1,2010-07-23,19237.0166666667,1385065.2
"26",1,2010-07-30,19055.3694444444,1371986.6
"27",1,2010-08-06,22935.5968571429,1605491.78
"28",1,2010-08-13,21242.7853521127,1508237.76
"29",1,2010-08-20,21015.0068055556,1513080.49
"30",1,2010-08-27,20702.0417142857,1449142.92
"31",1,2010-09-03,21391.1601388889,1540163.53
"32",1,2010-09-10,20936.9540277778,1507460.69
"33",1,2010-09-17,19866.3704166667,1430378.67
"34",1,2010-09-24,19039.3102816901,1351791.03
"35",1,2010-10-01,19908.6232876712,1453329.5
"36",1,2010-10-08,20660.8209589041,1508239.93
"37",1,2010-10-15,19991.905479452,1459409.1
